OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,cells_ml
Otu00049,Cadagno15m-E2,0.014727767,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,13329
Otu00032,LC-13m-E1,0.014683848,13,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,1400
Otu00037,LC-17m-E1,0.014637313,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,uncultured,6362
Otu00033,LC-15point5m-E1,0.014461627,15.5,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,8460
Otu00096,LC-3m-E1,0.014294223,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-B,1367
Otu00031,Cadagno7m-E2,0.014122188,7,157333.3333,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,2222
Otu00049,LC-15point5m-E1,0.014032073,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,8209
Otu00064,LC-3m-E1,0.014029515,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,1342
Otu00005,LC-9m-E1,0.013973108,9,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,1020
Otu00014,LC-9m-E1,0.013973108,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,1020
Otu00026,Cadagno7m-E2,0.013946757,7,157333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,2194
Otu00046,LC-15point5m-E1,0.013888889,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,8125
Otu00018,LC-13m-E1,0.013784837,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,1314
Otu00037,LC-15point5m-E1,0.013745704,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,uncultured,8041
Otu00090,LC-5m-E1,0.013598697,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1179
Otu00039,LC-9m-E1,0.013445821,9,73000,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,982
Otu00063,LC-13m-E1,0.013425232,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,1280
Otu00045,LC-11m-E1,0.013392677,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,1397
Otu00023,Cadagno15m-E2,0.013290912,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,12028
Otu00046,LC-17m-E1,0.013279821,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,5772
