"","Press..dbar._CTD1_28","Depth_m_CTD1_28","Temp_CTD1_28","pH_CTD1_28","Turb_FTU_CTD1_28","Cond_ms_p_cm_CTD1_28","DO_mg_l_CTD1_28","Chl_A_ug_p_l_CTD1_28"
"364",1.9,3.75,15.87,9,0.12,0.1362,9.13,1.15
"365",1.91,3.76,15.87,9,0.12,0.1362,9.12,1.08
"366",1.94,3.79,15.87,9,0.15,0.1362,9.14,1.04
"367",1.95,3.8,15.87,9,0.12,0.1362,9.14,1
"368",1.98,3.83,15.87,9,0.12,0.1362,9.13,0.96
"369",2,3.85,15.87,8.99,0.12,0.1362,9.13,0.93
"370",2.02,3.87,15.86,8.99,0.12,0.1362,9.13,0.96
"371",2.01,3.86,15.86,8.99,0.12,0.1362,9.13,1.01
"372",2.01,3.86,15.86,8.99,0.12,0.1351,9.12,1.1
"373",2.01,3.86,15.86,8.99,0.12,0.1362,9.12,1.13
"374",2.02,3.87,15.86,8.99,0.12,0.1362,9.13,1.14
"375",2.02,3.87,15.86,8.99,0.12,0.1362,9.13,1.14
"376",2.03,3.88,15.86,8.99,0.12,0.1362,9.12,1.17
"377",2.05,3.9,15.86,8.99,0.09,0.1362,9.12,1.12
"378",2.05,3.9,15.86,8.99,0.15,0.1362,9.12,1.05
"379",2.06,3.91,15.86,9,0.15,0.1362,9.12,1
